Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
254.00,2.737,5211.5,-443.9,771.3,8.57,-0.88,-14.05,154.3,171.3,20.1,9.1,2.9,-0.1,n/a,OK,4.0,    
254.50,2.718,5176.4,-434.5,772.6,8.60,-0.86,-13.98,153.9,149.5,20.5,9.0,4.7,-0.1,n/a,OK,4.0,    
255.00,2.699,5141.5,-424.8,773.7,8.57,-0.84,-13.90,153.6,125.0,20.5,8.9,3.9,-0.1,n/a,OK,4.0,    
255.50,2.679,5106.7,-415.1,774.7,8.55,-0.82,-13.82,153.3,97.8,20.5,8.9,2.8,-0.1,n/a,OK,4.0,    
256.00,2.660,5071.9,-405.2,775.4,8.61,-0.80,-13.74,153.0,71.5,20.6,8.9,2.8,-0.1,n/a,OK,4.0,    
256.50,2.641,5037.3,-395.3,775.9,8.65,-0.77,-13.66,152.7,46.2,21.0,8.8,3.7,-0.1,n/a,OK,4.0,    
257.00,2.622,5002.8,-385.2,776.1,8.67,-0.75,-13.58,152.5,19.6,21.3,8.8,4.0,-0.1,n/a,OK,4.0,    
257.50,2.603,4968.4,-374.9,776.2,8.70,-0.73,-13.49,152.6,-0.9,21.1,8.7,2.1,-0.1,n/a,OK,4.0,    
258.00,2.584,4933.9,-364.6,776.1,8.71,-0.71,-13.40,152.9,-11.9,21.2,8.7,1.1,-0.1,n/a,OK,4.0,    
258.50,2.565,4899.3,-354.2,776.0,8.76,-0.70,-13.31,153.4,-16.8,21.5,8.7,1.8,-0.1,n/a,OK,4.0,    
259.00,2.546,4864.6,-343.7,775.9,8.82,-0.67,-13.21,153.9,-17.3,21.8,8.7,2.9,-0.1,n/a,OK,4.0,    
259.50,2.527,4829.8,-333.1,775.7,8.85,-0.65,-13.11,154.3,-15.8,21.8,8.7,2.7,-0.1,n/a,OK,4.0,    
260.00,2.508,4795.0,-322.3,775.6,8.83,-0.63,-13.01,154.6,-12.9,21.6,8.7,1.1,-0.1,n/a,OK,4.0,    
260.50,2.489,4760.1,-311.4,775.5,8.84,-0.61,-12.91,154.8,-9.5,21.6,8.8,0.5,-0.1,n/a,OK,4.0,    
261.00,2.469,4725.2,-300.6,775.5,8.89,-0.59,-12.80,154.9,-3.9,21.6,8.8,0.7,-0.1,n/a,OK,4.0,    
261.50,2.450,4690.3,-289.7,775.5,8.87,-0.57,-12.70,155.0,2.1,21.8,8.8,1.6,-0.1,n/a,OK,4.0,    
262.00,2.431,4655.3,-278.7,775.5,8.84,-0.55,-12.59,155.1,5.1,22.1,8.8,2.6,-0.1,n/a,OK,4.0,    
262.50,2.412,4620.4,-267.6,775.6,8.86,-0.52,-12.47,155.2,9.8,22.3,8.8,3.2,-0.1,n/a,OK,4.0,    
263.00,2.393,4585.5,-256.4,775.7,8.82,-0.50,-12.36,155.3,13.4,22.4,8.8,3.2,-0.1,n/a,OK,4.0,    
263.50,2.373,4550.6,-245.1,775.8,8.78,-0.47,-12.24,155.3,14.9,22.3,8.8,1.7,-0.1,n/a,OK,4.0,    
264.00,2.354,4515.7,-233.7,775.9,8.81,-0.45,-12.11,155.3,18.1,22.3,8.9,1.1,-0.1,n/a,OK,4.0,    
264.50,2.335,4480.8,-222.2,776.1,8.81,-0.42,-11.99,155.3,22.1,22.5,8.9,1.6,-0.1,n/a,OK,4.0,    
265.00,2.316,4446.0,-210.7,776.3,8.79,-0.40,-11.86,155.3,24.8,22.6,8.9,1.9,-0.1,n/a,OK,4.0,    
265.50,2.297,4411.2,-199.2,776.5,8.77,-0.37,-11.73,155.2,23.7,22.9,8.8,2.6,-0.1,n/a,OK,4.0,    
266.00,2.278,4376.4,-187.5,776.7,8.73,-0.35,-11.59,155.1,19.0,23.0,8.8,2.8,-0.1,n/a,OK,4.0,    
266.50,2.259,4341.8,-175.7,776.8,8.68,-0.32,-11.46,155.0,11.6,23.0,8.7,2.1,-0.1,n/a,OK,4.0,    
267.00,2.240,4307.1,-163.8,776.8,8.71,-0.29,-11.31,154.9,2.8,23.1,8.7,2.0,-0.1,n/a,OK,4.0,    
267.50,2.221,4272.5,-151.9,776.8,8.70,-0.27,-11.17,155.0,-2.0,23.2,8.7,2.2,-0.1,n/a,OK,4.0,    
268.00,2.202,4237.9,-139.9,776.8,8.69,-0.24,-11.02,155.2,-5.3,23.5,8.6,2.9,-0.1,n/a,OK,4.0,    
268.50,2.183,4203.3,-127.7,776.7,8.68,-0.21,-10.87,155.4,-7.9,23.6,8.6,2.7,-0.1,n/a,OK,4.0,    
269.00,2.164,4168.6,-115.4,776.7,8.68,-0.18,-10.71,155.6,-8.6,23.7,8.6,2.6,-0.1,n/a,OK,4.0,    
269.50,2.145,4134.0,-103.0,776.6,8.69,-0.16,-10.55,155.8,-7.1,23.8,8.6,2.5,-0.1,n/a,OK,4.0,    
270.00,2.126,4099.3,-90.5,776.6,8.68,-0.13,-10.38,155.9,-5.5,23.8,8.6,1.6,-0.1,n/a,OK,4.0,    
270.50,2.108,4064.6,-78.0,776.5,8.59,-0.10,-10.21,156.0,-4.7,23.9,8.5,1.2,-0.1,n/a,OK,4.0,    
271.00,2.089,4029.9,-65.3,776.5,8.61,-0.07,-10.04,156.1,-6.3,23.9,8.5,0.9,-0.1,n/a,OK,4.0,    
271.50,2.070,3995.2,-52.6,776.4,8.61,-0.04,-9.86,156.2,-4.3,23.8,8.5,0.2,-0.1,n/a,OK,4.0,    
272.00,2.051,3960.5,-39.9,776.4,8.59,-0.01,-9.68,156.3,-2.5,23.7,8.5,-0.4,-0.1,n/a,OK,4.0,    
272.50,2.032,3925.8,-27.3,776.4,8.58,0.03,-9.50,156.3,-2.6,23.7,8.5,-0.4,-0.1,n/a,OK,4.0,    
273.00,2.013,3891.1,-14.6,776.3,8.57,0.06,-9.31,156.1,-7.5,23.7,8.5,0.1,-0.1,n/a,OK,4.0,    
273.50,1.995,3856.5,-2.0,776.2,8.56,0.09,-9.12,155.6,-19.6,23.7,8.5,-0.1,-0.1,n/a,OK,4.0,    
274.00,1.976,3822.0,10.7,776.0,8.50,0.12,-8.92,155.1,-37.6,23.5,8.3,-0.9,-0.1,n/a,OK,4.0,    
274.50,1.957,3787.6,23.2,775.5,8.45,0.15,-8.73,154.6,-63.0,23.3,8.2,-1.8,-0.1,n/a,OK,4.0,    
275.00,1.939,3753.3,35.6,774.9,8.47,0.18,-8.53,154.2,-91.9,23.3,8.1,-1.8,-0.1,n/a,OK,4.0,    
275.50,1.921,3719.0,48.0,774.0,8.55,0.21,-8.33,153.9,-118.0,23.3,8.1,-1.3,-0.1,n/a,OK,4.0,    
276.00,1.902,3684.9,60.3,772.9,8.58,0.24,-8.13,153.5,-143.8,23.1,8.0,-1.9,-0.1,n/a,OK,4.0,    
276.50,1.884,3650.8,72.5,771.6,8.56,0.27,-7.92,152.9,-176.8,22.8,7.9,-3.0,-0.1,n/a,OK,4.0,    
277.00,1.866,3616.9,84.5,769.9,8.54,0.30,-7.71,152.4,-216.2,22.5,7.7,-4.3,-0.1,n/a,OK,4.0,    
277.50,1.848,3583.0,96.3,767.9,8.58,0.33,-7.51,151.8,-259.6,22.2,7.6,-5.1,-0.1,n/a,OK,4.0,    
278.00,1.829,3549.2,107.9,765.6,8.61,0.35,-7.30,151.3,-304.5,21.9,7.5,-5.2,-0.1,n/a,OK,4.0,    
278.50,1.811,3515.5,119.3,762.8,8.67,0.37,-7.09,150.9,-350.0,21.7,7.4,-4.9,-0.1,n/a,OK,4.0,    
279.00,1.793,3481.8,130.5,759.7,8.74,0.40,-6.88,150.5,-393.1,21.6,7.3,-4.1,-0.1,n/a,OK,4.0,    
279.50,1.776,3448.1,141.4,756.3,8.78,0.42,-6.67,150.1,-436.4,21.6,7.2,-3.0,-0.1,n/a,OK,4.0,    
280.00,1.758,3414.6,152.3,752.4,8.88,0.44,-6.46,149.6,-480.2,21.6,7.2,-1.5,-0.1,n/a,OK,4.0,    
280.50,1.740,3381.1,163.0,748.2,8.94,0.45,-6.25,149.2,-522.8,21.4,7.1,-1.5,-0.1,n/a,OK,4.0,    
281.00,1.722,3347.8,173.7,743.7,8.98,0.47,-6.03,148.7,-568.8,21.1,7.0,-2.6,-0.1,n/a,OK,4.0,    
281.50,1.705,3314.5,184.2,738.7,9.03,0.48,-5.82,148.2,-618.0,20.6,6.8,-4.2,-0.1,n/a,OK,4.0,    
282.00,1.687,3281.3,194.5,733.3,9.08,0.49,-5.60,147.6,-675.5,20.4,6.7,-5.1,-0.1,n/a,OK,4.0,    
282.50,1.670,3248.3,204.7,727.5,9.28,0.50,-5.38,147.1,-731.6,20.3,6.7,-4.9,-0.1,n/a,OK,4.0,    
283.00,1.652,3215.3,214.6,721.2,9.44,0.51,-5.16,146.6,-781.4,20.0,6.7,-5.0,-0.1,n/a,OK,4.0,    
283.50,1.635,3182.4,224.2,714.4,9.53,0.51,-4.94,146.1,-831.2,19.7,6.6,-5.3,-0.1,n/a,OK,4.0,    
284.00,1.617,3149.6,233.7,707.3,9.61,0.51,-4.72,145.6,-884.4,19.3,6.5,-5.7,-0.1,n/a,OK,4.0,    
284.50,1.600,3116.8,242.9,699.7,9.79,0.51,-4.50,145.1,-936.6,18.7,6.5,-6.9,-0.1,n/a,OK,4.0,    
285.00,1.583,3084.2,251.8,691.6,9.96,0.51,-4.28,144.6,-991.5,17.6,6.4,-10.4,-0.1,n/a,OK,4.0,    
285.50,1.566,3051.5,260.4,683.1,10.10,0.50,-4.06,144.1,-1056.5,16.5,6.2,-13.3,-0.1,n/a,OK,4.0,    
286.00,1.549,3018.9,268.4,674.0,10.28,0.49,-3.85,143.7,-1128.2,15.6,6.1,-15.0,-0.0,n/a,OK,4.0,    
286.50,1.531,2986.3,275.7,664.3,10.44,0.47,-3.65,143.3,-1201.3,14.7,6.0,-15.8,-0.0,n/a,OK,4.0,    
287.00,1.514,2953.6,282.5,653.9,10.66,0.45,-3.45,143.0,-1277.0,13.8,5.9,-15.9,-0.0,n/a,OK,4.0,    
287.50,1.497,2921.0,288.6,643.0,10.89,0.43,-3.26,142.7,-1345.5,13.0,6.0,-15.4,-0.0,X0,OK,4.0,    
288.00,1.480,2888.3,294.1,631.5,11.00,0.41,-3.08,142.4,-1408.1,12.2,5.9,-14.7,-0.0,X0,OK,4.0,    
288.50,1.463,2855.7,299.0,619.5,11.04,0.38,-2.91,142.1,-1469.1,11.4,5.8,-14.2,-0.0,X0,OK,4.0,    
289.00,1.445,2823.0,303.3,607.0,11.05,0.34,-2.75,141.9,-1530.6,10.7,5.6,-14.0,-0.0,X0,OK,4.0,    
289.50,1.428,2790.3,307.0,594.0,11.04,0.30,-2.60,142.0,-1591.3,9.8,5.4,-14.2,-0.0,X0,OK,4.0,    
290.00,1.411,2757.5,310.2,580.4,11.09,0.26,-2.45,142.4,-1647.6,9.0,5.2,-14.6,-0.0,X0,OK,4.0,    
290.50,1.393,2724.6,312.8,566.5,11.17,0.22,-2.31,143.1,-1694.5,8.1,5.2,-15.1,-0.0,X0,OK,4.0,    
291.00,1.375,2691.4,314.7,552.2,11.24,0.17,-2.18,143.8,-1735.7,7.1,5.1,-15.7,-0.0,X0,OK,4.0,    
291.50,1.358,2658.0,316.0,537.6,11.29,0.12,-2.07,144.8,-1768.1,6.2,5.1,-15.7,-0.0,X0,OK,4.0,    
292.00,1.340,2624.3,316.6,522.8,11.37,0.06,-1.96,146.1,-1782.1,5.6,5.3,-13.9,-0.0,X0,OK,4.0,    
292.50,1.321,2590.2,316.6,508.0,11.38,0.01,-1.86,147.5,-1767.8,5.2,5.4,-11.9,-0.0,X0,OK,4.0,    
293.00,1.303,2555.8,316.0,493.4,11.30,-0.05,-1.78,148.7,-1738.5,4.6,5.5,-11.0,-0.0,X0,OK,4.0,    
293.50,1.284,2521.1,315.0,479.0,11.30,-0.10,-1.70,149.9,-1701.0,3.9,5.6,-11.5,-0.0,X0,OK,4.0,    
294.00,1.265,2486.0,313.3,465.1,11.28,-0.15,-1.63,151.1,-1655.4,3.1,5.7,-12.6,-0.0,X0,OK,4.0,    
294.50,1.246,2450.7,311.1,451.5,11.19,-0.20,-1.57,152.5,-1602.3,2.3,5.8,-12.8,-0.0,X0,OK,4.0,    
295.00,1.227,2415.0,308.3,438.4,11.23,-0.25,-1.52,154.2,-1534.1,2.0,6.1,-11.0,-0.0,X0,OK,4.0,    
295.50,1.207,2378.8,304.9,426.1,11.23,-0.29,-1.49,155.8,-1437.9,1.8,6.5,-8.5,-0.0,X0,OK,4.0,    
296.00,1.188,2342.3,301.0,414.6,11.25,-0.33,-1.46,156.9,-1328.6,1.6,6.9,-6.8,-0.0,X0,OK,4.0,    
296.50,1.168,2305.7,296.8,404.0,11.19,-0.36,-1.44,157.1,-1221.0,1.4,7.2,-5.7,-0.0,X0,OK,4.0,    
297.00,1.148,2269.1,292.3,394.2,10.98,-0.38,-1.43,156.6,-1129.0,1.1,7.2,-5.7,-0.0,X0,OK,4.0,    
297.50,1.128,2232.7,287.6,385.1,10.73,-0.40,-1.43,156.0,-1056.7,0.9,7.2,-5.4,-0.0,X0,OK,4.0,    
298.00,1.108,2196.5,282.6,376.6,10.56,-0.42,-1.43,155.5,-995.4,0.8,7.2,-4.4,-0.0,X0,OK,4.0,    
298.50,1.088,2160.4,277.5,368.5,10.50,-0.43,-1.44,155.1,-940.0,0.8,7.3,-3.2,-0.0,X0,OK,4.0,    
299.00,1.069,2124.4,272.2,361.0,10.41,-0.44,-1.45,154.6,-883.8,0.9,7.4,-1.9,-0.0,X0,OK,4.0,    
299.50,1.049,2088.5,266.8,353.8,9.92,-0.45,-1.46,154.0,-843.7,1.0,7.1,-0.8,-0.0,X0,OK,4.0,    
300.00,1.030,2052.8,261.5,346.8,9.52,-0.45,-1.48,153.6,-831.5,1.1,6.8,-0.4,-0.0,X0,OK,4.0,    
300.50,1.010,2017.2,256.1,339.8,9.49,-0.46,-1.50,153.2,-829.9,0.9,6.7,-1.0,-0.0,X0,OK,4.0,    
301.00,0.991,1981.6,250.7,332.9,9.44,-0.47,-1.51,153.0,-824.9,0.9,6.8,-1.2,-0.0,X0,OK,4.0,    
301.50,0.971,1946.1,245.3,326.1,9.22,-0.47,-1.54,153.0,-819.3,0.8,6.6,-1.1,-0.0,X0,OK,4.0,    
302.00,0.952,1910.7,239.8,319.2,8.88,-0.48,-1.56,152.6,-833.4,0.8,6.3,-1.1,-0.0,X0,OK,4.0,    
302.50,0.933,1875.3,234.2,312.1,8.66,-0.49,-1.58,152.2,-867.4,0.8,5.9,-0.8,-0.0,X0,OK,4.0,    
303.00,0.914,1840.1,228.7,304.7,8.66,-0.50,-1.61,152.3,-899.3,0.9,5.8,-0.3,-0.0,X0,OK,4.0,    
303.50,0.894,1804.7,223.1,297.1,8.64,-0.51,-1.64,153.0,-921.1,1.0,5.6,0.3,0.0,X0,OK,4.0,    
304.00,0.875,1769.1,217.5,289.3,8.42,-0.53,-1.67,154.3,-938.4,1.1,5.3,0.4,0.0,X0,OK,4.0,    
304.50,0.855,1733.1,211.9,281.5,8.35,-0.55,-1.70,155.8,-947.2,1.1,5.2,0.1,0.0,X0,OK,4.0,    
305.00,0.835,1696.7,206.2,273.5,8.17,-0.56,-1.74,157.6,-947.6,1.0,5.1,-0.2,0.0,X0,OK,4.0,    
305.50,0.815,1659.8,200.4,265.7,7.94,-0.58,-1.77,159.6,-942.2,0.9,5.1,-0.5,0.0,X0,OK,4.0,    
306.00,0.795,1622.3,194.5,257.9,7.87,-0.60,-1.81,161.9,-924.4,0.9,5.2,-0.2,-0.0,X0,OK,4.0,    
306.50,0.774,1584.3,188.6,250.3,7.77,-0.61,-1.85,163.7,-902.5,0.7,5.1,-0.1,-0.0,X0,OK,4.0,    
307.00,0.753,1546.0,182.5,242.8,7.50,-0.62,-1.89,164.4,-892.7,0.8,4.9,-0.3,-0.0,X0,OK,4.0,    
307.50,0.732,1507.5,176.5,235.3,7.37,-0.64,-1.94,165.0,-899.5,0.9,4.6,-0.1,-0.0,XX,OK,4.0,    
308.00,0.711,1468.9,170.4,227.8,7.37,-0.65,-1.99,165.5,-909.1,1.0,4.5,0.0,0.0,XX,(OK),3.0,(AAF)LOLULX    
308.50,0.690,1430.2,164.3,220.2,7.22,-0.67,-2.04,166.1,-916.6,0.9,4.4,0.1,-0.0,XX,(OK),3.0,(AAF)LOLULX    
309.00,0.668,1391.3,158.2,212.4,7.13,-0.68,-2.10,166.6,-931.5,0.8,4.3,-0.0,-0.0,XX,(OK),3.0,AA (F)LOLULX    
309.50,0.647,1352.3,152.1,204.6,7.27,-0.70,-2.16,167.1,-941.6,0.8,4.3,-0.1,-0.0,XX,(OK),3.0,AA (F)LOLULX    
310.00,0.626,1313.2,145.9,196.8,7.30,-0.73,-2.22,167.6,-938.7,1.1,4.2,1.2,0.0,XX,(OK),3.0,AA (F)LOLULX    
310.50,0.604,1274.0,139.7,188.9,7.17,-0.75,-2.29,168.2,-944.6,1.4,4.0,3.2,0.0,XX,(OK),3.0,AA (F)LOLULX    
311.00,0.583,1234.5,133.7,181.0,7.15,-0.77,-2.35,168.9,-962.8,1.8,4.1,4.6,-0.0,XX,(OK),3.0,AA (F)LOLULX    
311.50,0.561,1194.9,127.8,173.0,7.49,-0.80,-2.41,169.5,-959.8,1.8,4.6,3.8,-0.0,XX,(OK),3.0,AA (F)LOLULX    
312.00,0.539,1155.0,122.1,165.1,7.58,-0.83,-2.46,170.1,-929.1,1.5,4.9,1.7,-0.0,XX,(OK),3.0,AA (F)LOLULX    
312.50,0.518,1115.0,116.4,157.5,7.45,-0.85,-2.52,170.7,-899.3,1.5,4.9,0.8,-0.0,XX,(OK),3.0,AA (F)LOLULX    
313.00,0.496,1074.9,110.8,150.1,7.52,-0.87,-2.57,171.1,-879.7,1.5,4.9,1.3,-0.0,IM,(OK),3.0,AA (F)LOLULX    
313.50,0.474,1034.7,105.1,142.9,7.73,-0.89,-2.63,171.0,-846.9,1.8,5.1,1.3,-0.0,IM,(OK),3.0,AA (F)LOLULX LOLULIM   
314.00,0.452,994.6,99.6,136.0,7.68,-0.91,-2.69,170.7,-809.2,1.9,5.1,1.5,-0.0,IM,(OK),3.0,AA (F)LOLULX LOLULIM   
314.50,0.430,954.5,94.1,129.4,7.45,-0.92,-2.76,170.2,-789.7,2.1,4.9,1.6,-0.0,IM,--,2.0,AA (F)LOLULX _LO_LULIM   
315.00,0.408,914.6,88.7,122.8,7.75,-0.93,-2.82,169.7,-782.5,2.1,5.2,2.0,-0.0,IM,--,2.0,AA (F)LOLULX _LO_LULIM   
315.50,0.387,874.8,83.4,116.4,8.00,-0.94,-2.88,169.1,-761.6,2.4,5.5,2.2,-0.0,IM,--,2.0,AA (F)LOLULX _LO_LULIM   
316.00,0.365,835.2,78.2,110.2,7.91,-0.95,-2.95,168.6,-739.0,2.6,5.6,2.6,-0.0,IM,--,2.0,AA (F)LOLULX _LO_LULIM   
316.50,0.344,795.6,73.2,104.1,7.81,-0.96,-3.01,168.3,-730.0,2.7,5.7,3.5,-0.0,IM,--,2.0,AA (F)LOLULX _LO_LULIM   
317.00,0.322,756.1,68.3,98.1,8.09,-0.97,-3.07,167.8,-718.2,3.0,6.1,4.1,-0.0,IM,--,2.0,AA (F)LOLULX _LOLUL_IM   
317.50,0.301,716.7,63.5,92.2,8.29,-0.97,-3.11,167.3,-688.2,3.1,6.3,3.3,-0.0,IM,--,2.0,AA (F)LOLULX _LOLUL_IM   
318.00,0.279,677.4,59.0,86.6,8.14,-0.97,-3.15,166.6,-670.0,3.0,6.1,1.1,-0.0,IM,--,2.0,AA (F)LOLULX _LOLUL_IM   
318.50,0.258,638.3,54.6,81.0,8.19,-0.96,-3.19,166.0,-662.2,2.9,6.1,-0.7,-0.0,IM,--,2.0,AA (F)LOLULX _LOLUL_IM   
319.00,0.237,599.4,50.1,75.5,8.16,-0.95,-3.23,165.4,-655.0,2.8,6.2,-1.9,0.0,IM,--,2.0,AA (F)LOLULX _LOLUL_IM   
319.50,0.216,560.7,45.6,70.1,8.32,-0.94,-3.29,164.5,-645.7,2.6,6.4,-2.2,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
320.00,0.195,522.2,41.0,64.7,8.29,-0.93,-3.38,163.5,-648.7,2.6,6.3,-1.4,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
320.50,0.174,484.0,36.3,59.3,8.26,-0.92,-3.49,162.5,-664.1,2.9,6.3,0.3,0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
321.00,0.154,446.0,31.7,53.7,8.53,-0.92,-3.62,161.5,-683.2,3.0,6.3,1.7,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
321.50,0.133,408.3,27.2,47.9,8.69,-0.93,-3.78,160.6,-700.3,3.4,6.4,2.4,0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
322.00,0.113,370.8,22.8,42.0,8.66,-0.95,-3.95,159.8,-719.1,3.5,6.5,2.2,0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
322.50,0.092,333.5,18.6,35.9,8.85,-0.99,-4.14,158.9,-743.8,3.3,6.8,1.2,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
323.00,0.072,296.4,14.5,29.7,8.81,-1.06,-4.38,157.8,-763.5,2.9,7.2,-0.4,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
323.50,0.052,259.7,10.3,23.2,9.05,-1.20,-4.73,156.6,-799.5,2.4,7.3,-1.1,-0.0,IC,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
324.00,0.033,223.2,6.2,16.4,8.38,-1.45,-5.28,155.6,-836.1,2.4,7.2,-1.4,-0.0,AR,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC 
324.50,0.014,186.9,2.0,9.1,7.44,-1.95,-6.25,155.6,-914.9,2.3,7.2,-1.1,-0.0,AR,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC _LOLUL_AR
325.00,-0.009,150.5,-2.3,1.3,9.64,-3.14,-8.37,155.0,-545.8,2.7,7.8,-0.8,-0.0,AR,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC _LOLUL_AR
325.50,-0.027,114.3,-6.4,0.3,-1.31,-3.31,-15.40,155.4,-71.3,2.7,-1.4,-0.2,-0.0,AR,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC _LOLUL_AR
326.00,-0.047,77.8,-10.6,0.0,-0.94,-3.44,-141.12,156.6,-12.3,3.1,-0.8,-0.1,-0.0,AR,WO,1.0,AA (F)LOLULX _LOLUL_IM  _LOLUL_IC _LOLUL_AR
